symbol,bias,bias_emoji,category,score,confidence,pcr,prev_pcr,support,resistance,ce_net_contracts,pe_net_contracts,ce_net_lakhs,pe_net_lakhs,atm_ce_delta_contracts,atm_pe_delta_contracts,score_breakdown
KOTAKBANK,Bullish Lean,🟩,Bullish Lean,11.1,75,0.89,0.88,400.0,420.0,-426000,-204000,-4.26,-2.04,-290000,-206000,"+0.2 Call/Put roughly balanced (ATM zone) | +0.1 Full-chain confirmation (Put-heavy) | +0.4 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +6.6 Full-chain Dual Unwinding is Call-heavy (4.26L CE vs 2.04L PE unwound, 2.1x) — bullish | +0.8 ATM±5 zone raw flow: CE -2.90L vs PE -2.06L (institutional tilt Put-heavy)"
COALINDIA,Bullish Lean,🟩,Bullish Lean,8.3,72,0.63,0.63,400.0,400.0,-209250,67500,-2.09,0.68,-225450,71550,+2.0 Call/Put roughly balanced (ATM zone) | +0.3 Full-chain confirmation (Put-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +3.0 ATM±5 zone raw flow: CE -2.25L vs PE +0.72L (institutional tilt Put-heavy)
LICI,Bullish Lean,🟩,Bullish Lean,9.5,75,0.91,0.89,400.0,420.0,-263200,93800,-2.63,0.94,-165200,74200,+2.6 Call/Put roughly balanced (ATM zone) | +0.7 Full-chain confirmation (Put-heavy) | +0.8 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +2.4 ATM±5 zone raw flow: CE -1.65L vs PE +0.74L (institutional tilt Put-heavy)
UPL,Bullish,🟢,Bullish OI Bias,19.5,84,0.94,0.93,570.0,600.0,-79935,-2710,-0.8,-0.03,-51480,-4065,"+1.3 Call/Put roughly balanced (ATM zone) | +0.3 Full-chain confirmation (Put-heavy) | +0.4 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +14.0 Full-chain Dual Unwinding is Call-heavy (0.80L CE vs 0.03L PE unwound, 29.5x) — bullish | +0.5 ATM±5 zone raw flow: CE -0.51L vs PE -0.04L (institutional tilt Put-heavy)"
CIPLA,Bullish,🟢,Bullish OI Bias (Fresh Put Writing),19.5,91,0.71,0.69,1300.0,1480.0,-14025,68425,-0.14,0.68,-18700,68850,+9.0 Moderate Put Writing (ATM zone) | +0.8 Full-chain confirmation (Put-heavy) | +0.8 PCR improving | +8.0 Max Pain above spot | +0.9 ATM±5 zone raw flow: CE -0.19L vs PE +0.69L (institutional tilt Put-heavy)
INDUSINDBK,Bullish,🟢,Bullish OI Bias,27.1,87,0.81,0.8,1000.0,1000.0,9800,65100,0.1,0.65,-15400,65100,"+4.3 Moderate Put Writing (ATM zone) | +0.6 Full-chain confirmation (Put-heavy) | +0.4 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +18.0 Full-chain Dual Build-Up is Put-heavy (+0.65L PE vs +0.10L CE, 6.6x) | +0.8 ATM±5 zone raw flow: CE -0.15L vs PE +0.65L (institutional tilt Put-heavy)"
SUPREMEIND,Bullish Lean,🟩,Bullish Lean,7.0,75,0.46,0.45,3500.0,3700.0,-8050,1050,-0.08,0.01,-6825,1225,+3.0 Call/Put roughly balanced (ATM zone) | +0.6 Full-chain confirmation (Put-heavy) | +0.4 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls
ICICIPRULI,Bearish Lean,🟧,Bearish Lean,-6.7,75,0.99,1.0,520.0,520.0,22200,-16650,0.22,-0.17,-5550,-16650,-0.7 Call/Put roughly balanced (ATM zone) | -0.5 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | -5.0 Volume favors Calls | -0.1 ATM±5 zone raw flow: CE -0.06L vs PE -0.17L (institutional tilt Call-heavy)
NAUKRI,Bullish Lean,🟩,Bullish Lean,6.4,75,0.42,0.41,1360.0,1460.0,-13200,11550,-0.13,0.12,-4400,11000,+2.4 Call/Put roughly balanced (ATM zone) | +0.6 Full-chain confirmation (Put-heavy) | +0.4 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls
LICHSGFIN,Bullish,🟢,Bullish OI Bias,12.9,62,1.11,1.11,520.0,550.0,-2000,-9000,-0.02,-0.09,-2000,-8000,-0.1 Call/Put roughly balanced (ATM zone) | +8.0 Max Pain above spot | +5.0 Volume favors Puts
