symbol,bias,bias_emoji,category,score,confidence,pcr,prev_pcr,support,resistance,ce_net_contracts,pe_net_contracts,ce_net_lakhs,pe_net_lakhs,atm_ce_delta_contracts,atm_pe_delta_contracts,score_breakdown
ETERNAL,Bullish,🟡,Short Covering,19.8,83,0.53,0.51,310.0,340.0,-1227110,732330,-12.27,7.32,-1275610,751735,+8.5 Moderate Put Writing (ATM zone) | +1.5 Full-chain confirmation (Put-heavy) | +0.8 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +6.0 ATM±5 zone raw flow: CE -12.76L vs PE +7.52L (institutional tilt Put-heavy)
ONGC,Bullish,🟡,Short Covering,16.5,82,0.53,0.51,225.0,240.0,-1086750,83250,-10.87,0.83,-1100250,63000,+5.8 Moderate Put Writing (ATM zone) | +0.9 Full-chain confirmation (Put-heavy) | +0.8 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +6.0 ATM±5 zone raw flow: CE -11.00L vs PE +0.63L (institutional tilt Put-heavy)
TATASTEEL,Bullish,🟢,Bullish OI Bias,12.8,81,0.68,0.67,185.0,190.0,-1210000,38500,-12.1,0.39,-1061450,57750,+3.0 Call/Put roughly balanced (ATM zone) | +0.4 Full-chain confirmation (Put-heavy) | +0.4 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +6.0 ATM±5 zone raw flow: CE -10.61L vs PE +0.58L (institutional tilt Put-heavy)
BANKBARODA,Bullish,🟢,Bullish OI Bias,13.3,81,0.91,0.89,235.0,250.0,-362710,348095,-3.63,3.48,-359780,348095,+3.0 Call/Put roughly balanced (ATM zone) | +0.5 Full-chain confirmation (Put-heavy) | +0.8 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +6.0 ATM±5 zone raw flow: CE -3.60L vs PE +3.48L (institutional tilt Put-heavy)
GAIL,Bullish Lean,🟩,Bullish Lean,8.6,75,0.71,0.7,190.0,175.0,-315950,49700,-3.16,0.5,-195250,49700,+2.3 Call/Put roughly balanced (ATM zone) | +0.5 Full-chain confirmation (Put-heavy) | +0.4 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +2.4 ATM±5 zone raw flow: CE -1.95L vs PE +0.50L (institutional tilt Put-heavy)
FEDERALBNK,Bullish Lean,🟩,Bullish Lean,7.1,75,0.73,0.72,350.0,360.0,-172500,2500,-1.73,0.03,-162500,12500,+1.6 Call/Put roughly balanced (ATM zone) | +0.3 Full-chain confirmation (Put-heavy) | +0.4 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +1.8 ATM±5 zone raw flow: CE -1.62L vs PE +0.12L (institutional tilt Put-heavy)
UNIONBANK,Bullish,🟢,Bullish OI Bias,13.5,82,0.65,0.63,185.0,195.0,-123910,455760,-1.24,4.56,-110630,460185,+3.3 Call/Put roughly balanced (ATM zone) | +0.7 Full-chain confirmation (Put-heavy) | +0.8 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +5.7 ATM±5 zone raw flow: CE -1.11L vs PE +4.60L (institutional tilt Put-heavy)
PATANJALI,Bullish,🟢,Bullish OI Bias,20.3,85,0.72,0.71,350.0,350.0,-81700,-6450,-0.82,-0.06,-70950,-11825,"+1.9 Call/Put roughly balanced (ATM zone) | +0.4 Full-chain confirmation (Put-heavy) | +0.4 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +14.0 Full-chain Dual Unwinding is Call-heavy (0.82L CE vs 0.06L PE unwound, 12.7x) — bullish | +0.6 ATM±5 zone raw flow: CE -0.71L vs PE -0.12L (institutional tilt Put-heavy)"
TVSMOTOR,Bullish Lean,🟩,Bullish Lean (Call Unwinding),11.7,75,0.71,0.68,4200.0,4500.0,-52150,13825,-0.52,0.14,-61250,13475,+5.9 Moderate Put Writing (ATM zone) | +0.9 Full-chain confirmation (Put-heavy) | +1.2 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +0.7 ATM±5 zone raw flow: CE -0.61L vs PE +0.13L (institutional tilt Put-heavy)
AMBUJACEM,Bearish Lean,🟧,Bearish Lean,-9.7,75,0.73,0.73,410.0,410.0,-43200,-128400,-0.43,-1.28,-60000,-130800,"-1.8 Call/Put roughly balanced (ATM zone) | -0.4 Full-chain confirmation (Call-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -9.8 Full-chain Dual Unwinding is Put-heavy (1.28L PE vs 0.43L CE unwound, 3.0x) — bearish | -0.7 ATM±5 zone raw flow: CE -0.60L vs PE -1.31L (institutional tilt Call-heavy)"
